Stock_Name,Beta,Cluster
MMM,0.8758921350623421,0
AOS,1.0044966078887585,0
ABT,0.8122759196823887,2
ABBV,0.7584565008715595,2
ACN,1.0552092965281576,0
ATVI,0.7521717159947137,2
ADM,0.8989085435878708,0
ADBE,1.2205021012039186,3
ADP,0.9808883776784342,0
AAP,0.8325725288644673,0
AES,1.093384789314973,0
AFL,1.110909295519366,0
A,1.1858147678325992,0
APD,0.9687260966779271,0
AKAM,0.9945700674067717,0
ALK,1.2514756384652486,3
ALB,1.3193087719634193,3
ARE,0.9207362123734808,0
ALGN,1.4430977927480344,1
ALLE,1.0353475945596702,0
LNT,0.6167135452409234,2
ALL,0.8850088235181739,0
GOOGL,1.075566082601798,0
GOOG,1.073210988836918,0
MO,0.5677833015963167,2
AMZN,1.1048635908856161,0
AMCR,0.5553152968146974,2
AMD,1.6194046513996994,1
AEE,0.639434609756526,2
AAL,1.406050298021195,1
AEP,0.5512464479436601,2
AXP,1.2160728320475425,3
AIG,1.2995013331597236,3
AMT,0.8061665574634984,2
AWK,0.6446950416588658,2
AMP,1.5639805299850413,1
ABC,0.755008519399865,2
AME,1.11990717832919,0
AMGN,0.7841254426306676,2
APH,1.1247831437294942,0
ADI,1.2103648432474774,3
ANSS,1.1788433397431866,0
AON,0.8382518276704589,0
APA,1.4923086725367243,1
AAPL,1.1130541602041242,0
AMAT,1.453693325223904,1
APTV,1.355786127002736,3
ACGL,0.8431368872731329,0
ANET,1.2574706970337186,3
AJG,0.8429579218120526,0
AIZ,0.9041252209929573,0
T,0.6473570516658728,2
ATO,0.6594613863873758,2
ADSK,1.422209647948011,1
AZO,0.648334357835163,2
AVB,0.8361188088205608,0
AVY,1.0693730655049494,0
AXON,1.2002105298872616,3
BKR,1.2646882511575905,3
BALL,0.8473054989569899,0
BAC,1.4013421308308875,1
BBWI,1.261140088336512,3
BAX,0.7315228376019721,2
BDX,0.6627914431181459,2
WRB,0.8158588508683496,2
BBY,1.0801481100596686,0
BIO,0.8679909342677626,0
TECH,0.8744240305385296,0
BIIB,0.9322182889788696,0
BLK,1.2913599255326857,3
BK,1.127200564375868,0
BA,1.3191499055502331,3
BKNG,1.1526145172542026,0
BWA,1.2329519141381282,3
BXP,0.9810844519704435,0
BSX,1.012100215220008,0
BMY,0.6120800628876196,2
AVGO,1.281150411488301,3
BR,0.8714161162641465,0
BRO,0.8577999849182935,0
BG,0.8105720700281008,2
CHRW,0.7228270199735756,2
CDNS,1.1770677207781686,0
CZR,1.91064736444757,1
CPT,0.8364348305109259,0
CPB,0.3933932734788945,2
COF,1.3735934108309509,3
CAH,0.8379066239010589,0
